Participants,Type of Meal,Date of Meal,Meal Price,Year,Day of The Month,Day of The Week
['Daniel Senato'],Dinner,2015-01-07 22:00:00+01:00,235,2015,7,Wednesday
['John Spangler'],Lunch,2017-03-03 13:00:00+01:00,135,2017,2,Thursday
['Daniel Senato'],Dinner,2014-11-24 21:00:00+01:00,992,2014,28,Friday
['Daniel Senato'],Lunch,2018-07-26 13:00:00+02:00,207,2018,29,Sunday
['Tina Jones'],Dinner,2016-08-23 21:00:00+02:00,442,2016,20,Saturday
['Jean Bennett'],Lunch,2017-06-05 13:00:00+02:00,56,2017,8,Thursday
['Jean Bennett' 'Tina Jones'],Lunch,2016-02-23 14:00:00+01:00,159,2016,21,Sunday
['Jean Bennett'],Dinner,2015-10-02 21:00:00+02:00,58,2015,6,Tuesday
['Jean Bennett' 'Tina Jones'],Lunch,2017-05-11 12:00:00+02:00,663,2017,12,Friday
['James Cook' 'Jean Bennett'],Dinner,2016-11-11 21:00:00+01:00,665,2016,15,Tuesday
['James Cook' 'Jean Bennett'],Dinner,2018-11-04 20:00:00+01:00,250,2018,31,Wednesday
['James Cook' 'Tina Jones'],Breakfast,2016-04-18 09:00:00+02:00,55,2016,21,Thursday
['Tina Jones'],Dinner,2015-08-31 20:00:00+02:00,385,2015,3,Thursday
['James Cook' 'Tina Jones'],Breakfast,2018-04-09 07:00:00+02:00,704,2018,7,Saturday
['Jean Bennett'],Dinner,2014-11-26 21:00:00+01:00,774,2014,27,Thursday
['Tyron Speer'],Lunch,2015-05-26 12:00:00+02:00,240,2015,31,Sunday
['Andrew Phan' 'Tyron Speer' 'Lois Adams' 'Helen Gomez' 'Adam Hacker'],Breakfast,2016-03-21 07:00:00+01:00,228,2016,26,Saturday
['Lois Adams' 'Johnny Pollara' 'Adam Hacker' 'Helen Gomez'],Breakfast,2016-03-06 08:00:00+01:00,109,2016,2,Wednesday
['Andrew Phan'],Lunch,2016-04-09 12:00:00+02:00,41,2016,10,Sunday
['Tyron Speer'],Lunch,2016-11-25 12:00:00+01:00,173,2016,28,Monday
['Tyron Speer'],Lunch,2016-03-11 13:00:00+01:00,244,2016,14,Monday
['Johnny Pollara' 'Lois Adams' 'Adam Hacker' 'Tyron Speer'],Lunch,2017-05-08 13:00:00+02:00,390,2017,4,Thursday
['Adam Hacker' 'Lois Adams' 'Helen Gomez'],Dinner,2017-01-14 21:00:00+01:00,714,2017,11,Wednesday
['Helen Gomez' 'Lois Adams'],Dinner,2016-10-15 21:00:00+02:00,262,2016,20,Thursday
['Johnny Pollara'],Breakfast,2016-08-30 09:00:00+02:00,684,2016,26,Friday
['Beatriz Marshall' 'Monica Espinoza' 'Ann Vitt' 'Adam Gregory'],Lunch,2016-10-18 14:00:00+02:00,556,2016,20,Thursday
['Monica Espinoza'],Breakfast,2018-01-14 07:00:00+01:00,337,2018,19,Friday
['Michael Exline'],Dinner,2015-07-18 20:00:00+02:00,156,2015,19,Sunday
['Monica Espinoza' 'Ann Vitt'],Lunch,2018-09-02 14:00:00+02:00,124,2018,1,Saturday
['Beatriz Marshall'],Breakfast,2015-12-26 07:00:00+01:00,639,2015,29,Tuesday
['Ann Vitt' 'Monica Espinoza' 'Marcus Moralez' 'Beatriz Marshall'],Lunch,2015-07-09 13:00:00+02:00,565,2015,12,Sunday
['Marcus Moralez' 'Adam Gregory'],Lunch,2017-08-13 12:00:00+02:00,558,2017,16,Wednesday
"['Adam Gregory' 'Michael Exline' 'Marcus Moralez' 'Monica Espinoza'
 'Beatriz Marshall']",Lunch,2016-05-20 14:00:00+02:00,394,2016,16,Monday
"['Michael Exline' 'Beatriz Marshall' 'Ann Vitt' 'Adam Gregory'
 'Monica Espinoza']",Breakfast,2014-12-08 09:00:00+01:00,523,2014,11,Thursday
['Monica Espinoza' 'Michael Exline' 'Ann Vitt'],Dinner,2015-12-21 20:00:00+01:00,19,2015,24,Thursday
['Robin Ball' 'Mary Battle'],Lunch,2018-04-08 14:00:00+02:00,696,2018,9,Monday
['Mary Battle'],Dinner,2017-09-22 22:00:00+02:00,380,2017,22,Friday
['Robin Ball' 'Amy Farnes' 'Ahmad Gilbert'],Lunch,2018-08-07 12:00:00+02:00,706,2018,4,Saturday
['Mary Battle' 'Amy Farnes' 'Robin Ball'],Dinner,2014-01-09 22:00:00+01:00,263,2014,11,Saturday
['Mary Battle'],Breakfast,2016-01-04 08:00:00+01:00,713,2016,5,Tuesday
['Mary Battle'],Breakfast,2014-02-04 09:00:00+01:00,476,2014,7,Friday
['Ahmad Gilbert' 'Amy Farnes' 'Robin Ball'],Dinner,2014-06-12 21:00:00+02:00,582,2014,16,Monday
['Robin Ball' 'Ahmad Gilbert'],Breakfast,2014-05-08 08:00:00+02:00,39,2014,12,Monday
['Mary Battle'],Dinner,2015-03-29 21:00:00+02:00,773,2015,30,Monday
['Ahmad Gilbert'],Dinner,2014-08-09 22:00:00+02:00,461,2014,6,Wednesday
['Robin Ball'],Dinner,2016-08-15 21:00:00+02:00,125,2016,11,Thursday
['Mary Battle'],Lunch,2014-11-20 13:00:00+01:00,561,2014,24,Monday
['Richard Turner'],Lunch,2017-02-22 14:00:00+01:00,554,2017,18,Saturday
['Emma Webb'],Lunch,2014-07-13 13:00:00+02:00,575,2014,14,Monday
['Stefanie Parlato' 'Emma Webb'],Breakfast,2015-04-26 08:00:00+02:00,136,2015,24,Friday
['Emma Webb'],Breakfast,2017-03-25 07:00:00+01:00,136,2017,23,Thursday
['Stefanie Parlato' 'Richard Turner'],Breakfast,2017-05-24 08:00:00+02:00,666,2017,28,Sunday
['Stefanie Parlato'],Lunch,2018-09-12 14:00:00+02:00,722,2018,8,Saturday
['Stefanie Parlato'],Dinner,2014-11-08 21:00:00+01:00,400,2014,13,Thursday
['Stefanie Parlato'],Lunch,2016-04-10 14:00:00+02:00,673,2016,7,Thursday
['Stacey Rowell'],Breakfast,2018-07-03 07:00:00+02:00,562,2018,29,Friday
['Stacey Rowell'],Lunch,2017-10-13 14:00:00+02:00,592,2017,11,Wednesday
['Stacey Rowell'],Breakfast,2014-03-27 09:00:00+01:00,217,2014,26,Wednesday
['Stacey Rowell'],Lunch,2017-05-09 14:00:00+02:00,591,2017,8,Monday
['Stacey Rowell'],Dinner,2017-02-02 22:00:00+01:00,863,2017,2,Thursday
['Stacey Rowell'],Lunch,2015-11-18 14:00:00+01:00,516,2015,15,Sunday
['Stacey Rowell'],Lunch,2018-11-16 13:00:00+01:00,467,2018,17,Saturday
['Stacey Rowell'],Breakfast,2016-01-15 08:00:00+01:00,775,2016,18,Monday
['Stacey Rowell'],Lunch,2018-01-06 13:00:00+01:00,635,2018,4,Thursday
['Stacey Rowell'],Breakfast,2016-11-23 08:00:00+01:00,374,2016,23,Wednesday
['Stacey Rowell'],Dinner,2018-08-07 20:00:00+02:00,775,2018,11,Saturday
['Judie Montemurro'],Breakfast,2016-07-30 09:00:00+02:00,19,2016,3,Wednesday
['Judie Montemurro'],Breakfast,2016-12-16 08:00:00+01:00,287,2016,17,Saturday
['Judie Montemurro'],Dinner,2014-08-01 20:00:00+02:00,340,2014,6,Wednesday
['Judie Montemurro'],Lunch,2016-01-15 14:00:00+01:00,331,2016,13,Wednesday
['Judie Montemurro'],Breakfast,2015-03-27 08:00:00+01:00,121,2015,29,Sunday
['Judie Montemurro'],Breakfast,2017-03-24 07:00:00+01:00,687,2017,29,Wednesday
['Judie Montemurro'],Lunch,2016-06-02 13:00:00+02:00,465,2016,5,Sunday
['Judie Montemurro'],Breakfast,2017-04-13 07:00:00+02:00,503,2017,15,Saturday
['Judie Montemurro'],Breakfast,2017-12-19 07:00:00+01:00,782,2017,15,Friday
['Judie Montemurro'],Dinner,2015-06-15 22:00:00+02:00,183,2015,16,Tuesday
['Judie Montemurro'],Dinner,2016-10-19 22:00:00+02:00,371,2016,22,Saturday
['Judie Montemurro'],Breakfast,2018-10-15 09:00:00+02:00,430,2018,18,Thursday
['Judie Montemurro'],Lunch,2014-07-21 14:00:00+02:00,363,2014,18,Friday
['Judie Montemurro'],Lunch,2017-11-11 14:00:00+01:00,212,2017,11,Saturday
['Judie Montemurro'],Dinner,2015-09-25 20:00:00+02:00,578,2015,29,Tuesday
['Judith Mulloy'],Lunch,2016-06-12 12:00:00+02:00,337,2016,16,Thursday
['Judith Mulloy'],Dinner,2016-02-22 22:00:00+01:00,359,2016,19,Friday
['Judith Mulloy'],Dinner,2017-12-16 20:00:00+01:00,110,2017,16,Saturday
['Brandon Rivera'],Breakfast,2014-05-31 08:00:00+02:00,468,2014,2,Monday
['Judith Mulloy'],Lunch,2014-07-18 14:00:00+02:00,705,2014,19,Saturday
['Allen Garfinkle' 'Lucas Hughes'],Lunch,2017-03-25 14:00:00+01:00,434,2017,29,Wednesday
['Lucas Hughes'],Breakfast,2017-09-05 08:00:00+02:00,23,2017,8,Friday
['Lucas Hughes'],Lunch,2014-01-14 13:00:00+01:00,192,2014,12,Sunday
['Lucas Hughes'],Lunch,2016-03-06 12:00:00+01:00,457,2016,3,Thursday
['Allen Garfinkle'],Lunch,2018-11-25 14:00:00+01:00,564,2018,21,Wednesday
['Allen Garfinkle' 'Denise Thompson'],Dinner,2014-03-08 22:00:00+01:00,616,2014,4,Tuesday
['Lucas Hughes' 'Allen Garfinkle'],Dinner,2015-01-28 21:00:00+01:00,665,2015,29,Thursday
['Denise Thompson' 'Lucas Hughes'],Lunch,2015-08-11 12:00:00+02:00,617,2015,8,Saturday
['Allen Garfinkle'],Dinner,2015-06-27 20:00:00+02:00,423,2015,23,Tuesday
['Martin Riley' 'Rosa Parramore' 'Jennifer Lee'],Breakfast,2017-02-25 09:00:00+01:00,39,2017,28,Tuesday
['Rosa Parramore'],Lunch,2015-12-16 14:00:00+01:00,580,2015,14,Monday
['Martin Riley'],Lunch,2014-04-14 14:00:00+02:00,468,2014,16,Wednesday
['Martin Riley'],Dinner,2016-07-09 20:00:00+02:00,100,2016,11,Monday
['Jane Bruce'],Breakfast,2018-12-09 07:00:00+01:00,400,2018,7,Friday
['Jane Bruce' 'Jennifer Lee' 'Rosa Parramore'],Dinner,2016-07-30 21:00:00+02:00,503,2016,26,Tuesday
['Jane Bruce'],Breakfast,2017-09-22 08:00:00+02:00,137,2017,18,Monday
['Martin Riley' 'Jane Bruce' 'Rosa Parramore'],Breakfast,2017-09-26 07:00:00+02:00,409,2017,1,Sunday
['Rosa Parramore'],Dinner,2014-02-28 21:00:00+01:00,206,2014,27,Thursday
['Earl Sorrentino' 'Jane Bruce'],Breakfast,2017-12-15 09:00:00+01:00,339,2017,14,Thursday
['Jane Bruce'],Breakfast,2018-10-21 09:00:00+02:00,374,2018,23,Tuesday
['Jennifer Lee' 'Jane Bruce' 'Rosa Parramore' 'Martin Riley'],Lunch,2016-08-11 14:00:00+02:00,851,2016,15,Monday
['Earl Sorrentino' 'Jennifer Lee'],Breakfast,2018-10-30 07:00:00+01:00,346,2018,3,Saturday
['Martin Riley' 'Earl Sorrentino'],Breakfast,2014-10-01 08:00:00+02:00,311,2014,1,Wednesday
['Martin Riley' 'Jennifer Lee' 'Rosa Parramore' 'Jane Bruce'],Breakfast,2016-10-14 08:00:00+02:00,360,2016,17,Monday
['Errol Morse' 'Jacqueline Vicars' 'Anne Martinez'],Lunch,2017-02-22 14:00:00+01:00,150,2017,26,Sunday
['Errol Morse' 'Charles Boyd' 'Stefani Bello' 'Jacqueline Vicars'],Dinner,2016-12-27 21:00:00+01:00,242,2016,24,Saturday
['Anne Martinez'],Lunch,2017-05-06 14:00:00+02:00,825,2017,4,Thursday
['Errol Morse' 'John Collins' 'Jacqueline Vicars' 'Charles Boyd'],Lunch,2016-09-01 12:00:00+02:00,528,2016,4,Sunday
['Anne Martinez'],Dinner,2018-11-16 20:00:00+01:00,827,2018,21,Wednesday
['John Collins' 'Errol Morse' 'Anne Martinez' 'Stefani Bello'],Lunch,2018-03-16 14:00:00+01:00,359,2018,14,Wednesday
['John Collins' 'Anne Martinez'],Lunch,2017-04-27 13:00:00+02:00,764,2017,29,Saturday
['Errol Morse'],Lunch,2018-03-06 14:00:00+01:00,205,2018,2,Friday
"['Jacqueline Vicars' 'Anne Martinez' 'Charles Boyd' 'Errol Morse'
 'Stefani Bello']",Breakfast,2015-12-18 09:00:00+01:00,824,2015,21,Monday
['Errol Morse' 'Jacqueline Vicars' 'Anne Martinez' 'Stefani Bello'],Lunch,2015-11-19 12:00:00+01:00,351,2015,22,Sunday
['Ron Pignone' 'Carlos Haliburton' 'Douglas Delmonte' 'Sonja Vanhouten'],Dinner,2018-12-16 22:00:00+01:00,559,2018,18,Tuesday
['Carlos Haliburton' 'Sonja Vanhouten'],Dinner,2016-10-03 22:00:00+02:00,263,2016,30,Friday
['Shanna Thomas' 'Sonja Vanhouten' 'Carlos Haliburton' 'Douglas Delmonte'],Lunch,2017-03-19 13:00:00+01:00,616,2017,17,Friday
['Ron Pignone' 'Sonja Vanhouten' 'Shanna Thomas' 'Carlos Haliburton'],Breakfast,2015-12-06 08:00:00+01:00,228,2015,11,Friday
['Ron Pignone'],Lunch,2015-11-29 12:00:00+01:00,253,2015,1,Tuesday
['Carlos Haliburton' 'Sonja Vanhouten' 'Douglas Delmonte' 'Ron Pignone'],Breakfast,2016-04-12 07:00:00+02:00,23,2016,11,Monday
['Carlos Haliburton'],Breakfast,2017-03-24 08:00:00+01:00,222,2017,26,Sunday
['Shanna Thomas' 'Carlos Haliburton' 'Sonja Vanhouten' 'Ron Pignone'],Dinner,2014-06-08 21:00:00+02:00,347,2014,4,Wednesday
['Shanna Thomas' 'Carlos Haliburton' 'Ron Pignone'],Lunch,2016-08-10 14:00:00+02:00,221,2016,7,Sunday
['Douglas Delmonte' 'Ron Pignone' 'Shanna Thomas' 'Sonja Vanhouten'],Dinner,2017-02-26 20:00:00+01:00,427,2017,3,Friday
['Carlos Haliburton'],Dinner,2018-09-16 22:00:00+02:00,105,2018,12,Wednesday
['Shanna Thomas' 'Ron Pignone' 'Douglas Delmonte'],Breakfast,2014-10-21 09:00:00+02:00,76,2014,25,Saturday
['Shanna Thomas' 'Sonja Vanhouten' 'Douglas Delmonte'],Dinner,2015-07-25 20:00:00+02:00,381,2015,25,Saturday
['Sonja Vanhouten'],Dinner,2014-11-23 20:00:00+01:00,266,2014,25,Tuesday
['Carlos Haliburton' 'Douglas Delmonte'],Dinner,2017-06-20 21:00:00+02:00,573,2017,19,Monday
['Carlos Haliburton' 'Douglas Delmonte'],Breakfast,2017-09-18 09:00:00+02:00,850,2017,18,Monday
"['Ryan Marcy' 'Ronnie Monroe' 'Clifford Hardman' 'David Leung'
 'Fidela Smith']",Breakfast,2017-08-21 07:00:00+02:00,183,2017,21,Monday
['Edward Young'],Dinner,2017-12-22 21:00:00+01:00,227,2017,25,Monday
['Ronnie Monroe' 'Ryan Marcy' 'Clifford Hardman'],Lunch,2014-08-01 12:00:00+02:00,158,2014,6,Wednesday
['Ryan Marcy' 'David Leung' 'Ronnie Monroe'],Dinner,2017-01-10 22:00:00+01:00,145,2017,8,Sunday
